,NAME OF COMPANY,SYMBOL,Sscore,beta,cagr,currency,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,financialCurrency,grossMargins,grossProfits,kendall,marketCap,market_cagr,net_cagr,operatingMargins,pearson,period,price,returns,revenueGrowth,revenuePerShare,sector,sharp_ratio,spearman,std,totalCash,totalCashPerShare,totalDebt,totalRevenue,volitility
10,AAA Technologies Limited,AAATECH.NS,14038159.474737965,0.3337804136979715,0.16437250087028255,INR,,0.439,36017500.0,0.19702,INR,0.70959,92014000.0,0.07799194188651283,814869760.0,0.14991068987475153,0.01446181099553101,0.18954,0.09326576239818751,2.5095890410958903,62.650001525878906,0.15522999724755124,0.602,14.199,Technology,0.017227488567912945,0.11470042691858308,0.03575634661670672,137184000.0,10.7,0.0,182812992.0,9.010599347410094
11,Aakash Exploration Services Limited,AAKASH.NS,8985600.188898109,0.22827311112932788,0.11899007215380619,INR,48.387,-0.255,137535696.0,0.14596,INR,0.86804,700866600.0,0.08361855440442434,663187520.0,0.11591011620335001,0.0030799559504561813,0.07699,0.08570654463510645,5.008219178082192,6.550000190734863,0.11489095034771468,0.224,9.162,Energy,0.013549109290986218,0.11989397499545282,0.03364918385720712,895000.0,0.009,243168000.0,942297472.0,8.479594332016193
12,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS.NS,-23114217.472901896,0.8007548244923519,-0.21637356327017765,INR,20.776,-0.752,85889024.0,0.022809999,INR,0.041890003,207600876.0,0.15757796918030303,713310080.0,0.0733790207713465,-0.28975258404152415,0.0154,0.25565739230231765,1.7780821917808218,28.100000381469727,-0.24886410862030794,-0.555,156.382,Healthcare,-0.032404164922079745,0.22694238503003097,0.030476205418755186,1243000.0,0.049,242164000.0,3764922880.0,7.6800037655263065
13,Aaron Industries Limited,AARON.NS,106715287.36236215,0.1957023474260845,0.7314204879637727,INR,,,,0.0,INR,0.0,177531000.0,0.11291172185766288,2368351744.0,0.1134921815624097,0.617928306401363,0.0,0.05075561680195273,4.663013698630137,235.8000030517578,0.5618908153299036,,,Industrials,0.04505888436239062,0.16248197349071442,0.049484701834283246,,,,,12.470144862239378
14,Aarti Drugs Limited,AARTIDRUGS.NS,2430223538.6524596,0.6951587818830108,0.4322100480981952,INR,51.055,0.014,3077900032.0,0.11332,INR,0.30468,,0.18620729716181525,43156230144.0,0.1260966657147795,0.3061133823834157,0.094799995,0.28642171081155454,11.378082191780821,466.04998779296875,0.3674561277757762,0.069,293.31,Healthcare,0.05631222955627724,0.2733878758723179,0.025894184064372872,211700000.0,2.286,6089099776.0,27160500224.0,6.5253343842219635
15,Aarti Industries Limited,AARTIIND.NS,11827206964.442366,0.7292596348157905,0.41829589774479503,INR,59.073,-0.232,10890000384.0,0.16453,INR,0.41955003,27770000000.0,0.23336300298452844,182303260672.0,0.1260966657147795,0.2921992320300155,0.11769,0.3560244767065463,11.378082191780821,502.8999938964844,0.3574695958347237,-0.057,182.66,Basic Materials,0.06487655196536432,0.3412981816809627,0.021865066795759985,2000000000.0,5.503,29070000128.0,66190000128.0,5.509996832531516
16,Aarti Pharmalabs Limited,AARTIPHARM.NS,3019408052.0614405,-0.3197504729612095,1.1537722839826299,INR,24.623,,3670848512.0,0.17805,INR,0.39455003,4529137000.0,0.012474849094567407,32711456768.0,0.12312624141551654,1.0306460425671133,0.14525,-0.06260563587415173,0.29315068493150687,360.95001220703125,0.798276795102879,,182.1,Healthcare,0.09230429795517936,0.010697518443997316,0.034318716789008524,832734016.0,9.189,3414006016.0,20617156608.0,8.648316630830148
17,Aarti Surfactants Limited,AARTISURF.NS,63621133.36407516,0.805733383558501,0.10064461139791736,INR,88.755,0.942,477396000.0,0.079390004,INR,0.21113001,,0.21162550109918532,5319173120.0,0.2074537974179389,-0.10680918602002154,0.053639997,0.2513319451045937,2.841095890410959,627.5,0.09724836488061044,0.043,787.557,Basic Materials,0.011960718692320953,0.308396007990073,0.03226446669057208,76886000.0,10.075,1491325056.0,6012932096.0,8.130645606024164
18,Aarvee Denims & Exports Limited,AARVEEDEN.NS,-1267784.1673133436,0.7101182998834614,-0.023153449629570888,INR,394.492,,-275625248.0,-0.08527,INR,0.26385,1372931000.0,0.14690544318975313,486790848.0,0.1260966657147795,-0.1492501153443504,-0.15322,0.20770644323569,11.378082191780821,20.75,-0.02396288544365072,-0.593,137.775,Consumer Cyclical,-0.002604371410272166,0.21620037131966188,0.03651200242696755,75033000.0,3.2,3902910976.0,3232307968.0,9.201024611595823
19,Aarvi Encon Limited,AARVI.NS,38128307.23168821,0.4019575374942798,0.18116080522471023,INR,14.036,-0.306,167053248.0,0.03966,INR,0.32192,717348000.0,0.10742526504171787,1907872640.0,0.12478175620157583,0.0563790490231344,0.03707,0.14307305478776833,5.6136986301369864,128.25,0.1701851854687855,0.506,284.944,Industrials,0.019984723525197264,0.15693683363364003,0.03379271355558468,79721000.0,5.381,142852000.0,4212133120.0,8.515763816007338
20,Aavas Financiers Limited,AAVAS.NS,2357063807.8094926,0.6288832048516029,0.13960862152490106,INR,302.395,0.099,,0.0,INR,0.99249,9995732000.0,0.1580576930887641,113442922496.0,0.1340780578759555,0.005530563648945552,0.54454,0.31669452453361685,4.608219178082192,1414.0999755859375,0.13347458414903074,0.107,127.473,Financial Services,0.020777530726014244,0.23264183425234666,0.02549201130754599,13928341504.0,176.262,98872786944.0,10071378944.0,6.423986849501589
21,Aban Offshore Limited,ABAN.NS,-55973218.84165575,0.9121746183182226,-0.16960239152458956,INR,,,-204484992.0,-0.04276,INR,0.63767,4486880000.0,0.25980055152405895,2282083584.0,0.1260966657147795,-0.29569905723936907,-0.26708,0.31777934654989926,11.378082191780821,38.5,-0.19011246193368608,-0.338,81.94,Energy,-0.02452724310103786,0.3708624596533811,0.03075822783568197,1687629952.0,28.919,150496428032.0,4782009856.0,7.751073414591857
22,ABB India Limited,ABB.NS,28995613795.830467,0.6891731151562447,0.1896183567830554,INR,0.67,2.074,10916025344.0,0.12124,INR,0.35349,,0.24794240864679204,830446239744.0,0.1260966657147795,0.06352169106827588,0.11168,0.36405345832180164,11.378082191780821,3918.89990234375,0.17761418437442375,0.221,424.905,Industrials,0.034915702435799924,0.36129530370909296,0.020186281323079775,36239699968.0,171.016,330900000.0,90038796288.0,5.086942893416103
