,% Change,52 Week Range,Change,Circulating Supply,Day Chart,Market Cap,Name,Price (Intraday),Sscore,Symbol,Total Volume All Currencies (24Hr),Unnamed: 0,Volume in Currency (24Hr),Volume in Currency (Since 0:00 UTC),cagr,currency,marketCap,period,price,returns,sharp_ratio,std,volitility
21,+0.93%,,0.0332,930.403M,,3.338B,UNUS SED LEO USD,3.5878,86320919.65942006,LEO-USD,608679,21,608679,608679,0.3635093531526501,USD,3326623232.0,3.9917808219178084,3.575702667236328,0.21407005288226838,0.025948511039383032,0.03273730564135661,8.249801021621865
22,-0.53%,,-0.0346,517.1M,,3.337B,Chainlink USD,6.4528,85331004.34412435,LINK-USD,213.886M,22,213.886M,213.886M,0.8523727498765938,USD,3481527296.0,5.52054794520548,6.73279333114624,0.4256158382756297,0.024509646798450475,0.0689096727128595,17.365237523640594
23,+5.28%,,0.54,286.37M,,3.113B,Cosmos USD,10.87,15606403.496071598,ATOM-USD,173.238M,23,173.238M,173.238M,0.13172442221988767,USD,3134373632.0,4.178082191780822,10.94517707824707,0.08543318282891836,0.004979113956530246,0.06808853336983525,17.158310409198485
24,+3.03%,,0.1503,577.501M,,2.949B,Uniswap USD,5.107,-13283284.373701904,UNI7083-USD,68.95M,24,68.95M,68.95M,-0.09952288498468065,USD,3013797376.0,2.66027397260274,5.218687057495117,-0.0723761455875164,-0.0044074908550527266,0.0651633630970184,16.421167500448636
25,-0.47%,,-0.73,18.277M,,2.825B,Monero USD,154.57,5882657.102487468,XMR-USD,57.978M,25,57.978M,57.978M,0.04225353397730003,USD,2774557440.0,5.52054794520548,151.7811737060547,0.028572815287921324,0.0021202145674401565,0.053477694848298285,13.476379101771167
26,+0.18%,,0.08,60M,,2.691B,OKB USD,44.85,108945265.9876153,OKB-USD,6.639M,26,6.639M,6.639M,1.2920855177964152,USD,2760483072.0,4.049315068493151,46.008052825927734,0.5726697304538549,0.039466014877129196,0.05758116033370695,14.510452404094151
27,+1.10%,,0.2,140.891M,,2.625B,Ethereum Classic USD,18.63,5527842.784005028,ETC-USD,133.375M,27,133.375M,133.375M,0.04908094077809344,USD,2609930752.0,5.52054794520548,18.512107849121094,0.033080686485957134,0.0021180036212719517,0.06197938667433914,15.618805441933462
28,-1.03%,,-0.0204,1.221B,,2.407B,Toncoin USD,1.971,60049558.52696206,TON11419-USD,16.09M,28,16.09M,16.09M,0.8538291327865335,USD,2425953792.0,1.7205479452054795,1.9862055778503418,0.42615844378119727,0.02475296880137858,0.06831927714244476,17.21645783989608
29,-0.31%,,-0.00027,26.787B,,2.362B,Stellar USD,0.088171,15603285.38939885,XLM-USD,49.305M,29,49.305M,49.305M,0.15439389800589076,USD,2362006784.0,5.52054794520548,0.08824735134840012,0.09912605900460084,0.0066059443584556825,0.059545971878930896,15.005584913490585
30,-1.23%,,-0.0639,435.922M,,2.237B,Internet Computer USD,5.1325,-206004765.53403977,ICP-USD,46.132M,30,46.132M,46.132M,-0.8862302968143863,USD,2320228608.0,2.0191780821917806,5.3181538581848145,-1.5006627763719922,-0.08878640872875565,0.0670712004530092,16.901942514158318
31,-4.74%,,-5.66,19.388M,,2.203B,Bitcoin Cash USD,113.64,-31161162.35232823,BCH-USD,203.657M,31,203.657M,203.657M,-0.2666186403421027,USD,2290867200.0,5.52054794520548,118.12068939208984,-0.21408914762034412,-0.013602343406168733,0.06245689321586016,15.739137090396762
32,-0.67%,,-0.13,107.405M,,2.147B,Cryptonex USD,19.99,36328278.707478285,CNX-USD,11.23M,32,11.23M,11.23M,5.231341892069302,USD,2128187136.0,2.802739726027397,19.814544677734375,1.2631701610986366,0.01707005840461874,0.2936475016982594,73.99917042796137
33,+0.02%,,0.000169,2.115B,,2.114B,TrueUSD USD,0.999503,-2817363.7529331925,TUSD-USD,1.996B,33,1.996B,1.996B,-0.002226967821359782,USD,2088421760.0,5.2,0.9999104142189026,-0.0015392375420804872,-0.0013490396465382513,0.0045277286698876765,1.1409876248116946
34,+0.68%,,0.0305,422.497M,,1.907B,Filecoin USD,4.5126,-9752013.235420998,FIL-USD,192.37M,34,192.37M,192.37M,-0.15634953758511483,USD,1946375040.0,5.427397260273972,4.5716552734375,-0.11738160982158469,-0.005010346431189848,0.09296763115518242,23.42784305110597
35,-1.61%,,-0.000865,31.341B,,1.654B,Wrapped HBAR USD,0.052782,-499751221.27104753,WHBAR-USD,103413,35,103413,103413,-0.9216667271572342,USD,1653578752.0,0.03561643835616438,0.052747685462236404,-1.7583267728302823,-0.3022240220894224,0.023087136308795646,5.817958349816503
36,-2.88%,,-0.001559,31.341B,,1.647B,Hedera USD,0.052543,-9515570.402570777,HBAR-USD,25.459M,36,25.459M,25.459M,-0.13604904111803195,USD,1653872000.0,3.665753424657534,0.05275704339146614,-0.10096519624728649,-0.005753510793199701,0.06963670618944275,17.54844995973957
37,-1.63%,,-0.001067,25.263B,,1.628B,Cronos USD,0.064426,18497662.330357395,CRO-USD,9.338M,37,9.338M,9.338M,0.30504179604566906,USD,1608690944.0,4.424657534246576,0.06367771327495575,0.18381160851099274,0.011498580506932594,0.0634348861100832,15.985591299740967
38,-0.83%,,-0.0691,191.028M,,1.58B,Aptos USD,8.2684,20419472.603249736,APT21794-USD,181.985M,38,181.985M,181.985M,0.38038273787759835,USD,1714013184.0,0.5753424657534246,8.716087341308594,0.22256143387663344,0.011913252939861714,0.07413426858470576,18.681835683345852
39,-3.80%,,-0.0707,878.759M,,1.573B,Lido DAO USD,1.7899,6853803.8051940575,LDO-USD,60.662M,39,60.662M,60.662M,0.13254636644084172,USD,2079553024.0,2.361643835616438,2.3650314807891846,0.08593442969879106,0.00329580622667213,0.10346774604106398,26.073872002348125
40,-0.63%,,-173.33,53221,,1.458B,Bitcoin BEP2 USD,27401.01,22299226.95857542,BTCB-USD,38.691M,40,38.691M,38.691M,0.3229293958550392,USD,1458016640.0,3.915068493150685,27105.076171875,0.19321048297546603,0.015294219796130324,0.05013059024884996,12.632908742710189
41,-1.53%,,-0.025,899.181M,,1.444B,NEAR Protocol USD,1.6057,8002216.998586649,NEAR-USD,69.904M,41,69.904M,69.904M,0.15136554142749348,USD,1546976000.0,2.589041095890411,1.7080367803573608,0.09731250314474327,0.0051728126348350905,0.07465198413805782,18.812300002790572
42,-0.63%,,-0.007,1.275B,,1.424B,Arbitrum USD,1.1171,-57846844.75177764,ARB11841-USD,618.645M,42,618.645M,618.645M,-0.5626437014120129,USD,1498284544.0,0.1506849315068493,1.1751251220703125,-0.5709747563080724,-0.03860871753862105,0.05868552458977313,14.788752196622829
43,-0.44%,,-8.5e-05,72.715B,,1.39B,VeChain USD,0.019122,3357133.4022306376,VET-USD,42.521M,43,42.521M,42.521M,0.055833010238813374,USD,1443809024.0,4.789041095890411,0.019855856895446777,0.03751005400292605,0.002325192145516496,0.06401596570569353,16.13202335783477
44,-0.23%,,-0.25,12.073M,,1.274B,Quant USD,105.56,56991938.493725866,QNT-USD,18.788M,44,18.788M,18.788M,2.54645747248799,USD,1276413440.0,4.76986301369863,105.72692108154297,0.8740252081275519,0.04465006142032308,0.07767859416487813,19.57500572954929
45,-1.91%,,-0.0628,368.594M,,1.192B,ApeCoin USD,3.2336,-55773402.34598942,APE18876-USD,98.603M,45,98.603M,98.603M,-0.6816136869285878,USD,1260363264.0,1.1643835616438356,3.4193830490112305,-0.790168308918346,-0.04425184701828109,0.07085780004071686,17.85616561026065
46,-1.19%,,-0.001971,7.226B,,1.181B,Algorand USD,0.163494,-38125874.642643325,ALGO-USD,50.764M,46,50.764M,50.764M,-0.5270032857851323,USD,1241873664.0,3.9068493150684933,0.17181506752967834,-0.5168877889750628,-0.030700284375016203,0.06681182475988809,16.836579839491797
47,+0.23%,,0.002275,1.059B,,1.056B,Pax Dollar USD,0.997852,-122471.0563872679,USDP-USD,5.097M,47,5.097M,5.097M,-0.00016267629887101176,USD,1058312256.0,4.638356164383562,0.9969943761825562,-0.0001123226358576563,-0.00011572298789221232,0.003851652585068498,0.9706164514372615
48,+1.40%,,0.001592,8.954B,,1.029B,The Graph USD,0.114951,-11514075.203036364,GRT6719-USD,39.22M,48,39.22M,39.22M,-0.26430630211019623,USD,1111079296.0,2.410958904109589,0.12399379163980484,-0.21191571888201416,-0.010362964411710507,0.08114815017975542,20.449333845298366
49,-1.01%,,-0.003776,2.788B,,1.027B,Fantom USD,0.36848,21450651.910644338,FTM-USD,192.164M,49,192.164M,192.164M,0.8889054960404394,USD,1076352512.0,4.5479452054794525,0.3859957158565521,0.43909968436464303,0.019929021088812525,0.08743324908804562,22.033178770187497
50,+0.02%,,0.000153,1.004B,,1.002B,Frax USD,0.997708,2388567.6104483674,FRAX-USD,13.528M,50,13.528M,13.528M,0.006073039364205002,USD,1004737792.0,2.3863013698630136,1.000593900680542,0.004180212442498895,0.0023773044365075174,0.006977711545207222,1.75838330939222
51,-0.96%,,-0.008695,1.091B,,982.237M,EOS USD,0.900567,-2053457.2769935415,EOS-USD,129.898M,51,129.898M,129.898M,-0.0475345860207792,USD,984828416.0,5.52054794520548,0.9024276733398438,-0.03362403787047365,-0.002085091416567677,0.06399178503543468,16.12592982892954
52,-0.16%,,-0.51,3.114M,,968.053M,Wrapped BNB USD,310.88,46253083.572921224,WBNB-USD,199.552M,52,199.552M,199.552M,1.4720197397447188,USD,976356096.0,2.6301369863013697,311.6973571777344,0.6327558932522022,0.04737317026279029,0.05300333649627782,13.356840797062011
53,+0.35%,,0.13,25.397M,,958.206M,MultiversX USD,37.73,11727329.83814788,EGLD-USD,20.828M,53,20.828M,20.828M,0.32428453280750347,USD,958436224.0,2.6986301369863015,37.69230270385742,0.19391734045637588,0.012235900046853697,0.06288979583297101,15.848228549908695
54,-0.34%,,-0.001722,1.839B,,924.621M,The Sandbox USD,0.502817,24603239.412088506,SAND-USD,95.632M,54,95.632M,95.632M,1.134515881548075,USD,983595840.0,2.756164383561644,0.530646026134491,0.5234971140655116,0.025013565950104573,0.08304971407930271,20.928527947984286
55,-1.67%,,-1.07,14.391M,,908.636M,Aave USD,63.14,28205431.786067426,AAVE-USD,49.563M,55,49.563M,49.563M,5.2781671880760666,USD,918634240.0,2.621917808219178,63.82373809814453,1.2683388449056363,0.03070365827651648,0.1639247873676661,41.30904641665186
56,+0.35%,,0.003175,1B,,906.514M,Theta Network USD,0.906514,10804378.904457496,THETA-USD,16.477M,56,16.477M,16.477M,0.3568625344157106,USD,932452288.0,5.331506849315068,0.9324522614479065,0.21189397217343353,0.011587058172844009,0.07256795326159475,18.28712422192188
57,-1.31%,,-0.62,19.402M,,901.015M,Rocket Pool USD,46.44,18732963.167163335,RPL-USD,8.241M,57,8.241M,8.241M,1.2421710845497151,USD,971920576.0,4.832876712328767,50.09456253051758,0.5723950225137578,0.019274170780764842,0.11784729134837024,29.6975174197893
58,-0.59%,,-0.002862,1.844B,,890.596M,BitDAO USD,0.483056,-39374133.19541365,BIT11221-USD,5.906M,58,5.906M,5.906M,-0.4757328786088333,USD,923329216.0,1.7452054794520548,0.5008105039596558,-0.4458356044599374,-0.04264365571143548,0.04148774013557709,10.454910514165428
59,+1.09%,,0.006969,1.377B,,889.847M,Stacks USD,0.646402,10522286.171648892,STX4847-USD,117.504M,59,117.504M,117.504M,0.373054298306295,USD,898450048.0,3.5506849315068494,0.6507914066314697,0.2188862839657568,0.011711598430065298,0.07416548391154464,18.68970194570925
60,+0.52%,,0.002416,1.878B,,870.916M,Decentraland USD,0.46368,20793162.125193924,MANA-USD,65.836M,60,65.836M,65.836M,0.8870837583638711,USD,946489344.0,5.52054794520548,0.5039150714874268,0.4384335025145387,0.021968722899001727,0.0791951127139877,19.9571684039249
61,-0.02%,,-0.000177,937.406M,,841.674M,Tezos USD,0.897876,-3941566.910572905,XTZ-USD,18.156M,61,18.156M,18.156M,-0.1083236636841085,USD,850024704.0,5.52054794520548,0.906096875667572,-0.07915704138617845,-0.004637002774183966,0.06774100833942787,17.070734101535823
62,-0.56%,,-0.0387,116.956M,,797.675M,Axie Infinity USD,6.8203,42078171.93024638,AXS-USD,32.293M,62,32.293M,32.293M,3.6963179631088483,USD,856610880.0,2.5315068493150683,7.324193954467773,1.06791302732915,0.049121687469398455,0.086270450523285,21.74015353186782
63,-1.54%,,-0.01194,1.036B,,790.307M,Flow USD,0.762697,-32079109.46234018,FLOW-USD,16.05M,63,16.05M,16.05M,-0.6080677237466818,USD,824615296.0,2.3013698630136985,0.7958071231842041,-0.646684622278991,-0.038901909312072935,0.06596614058146034,16.623467426528006
64,-2.57%,,-0.002834,6.976B,,748.406M,Chiliz USD,0.107288,12966704.281138122,CHZ-USD,81.13M,64,81.13M,81.13M,0.6172575788942349,USD,766826304.0,3.8794520547945206,0.10992906242609024,0.3319025459682136,0.01690957158550748,0.0778892350082228,19.628087222072146
65,+0.02%,,0.000156,736.192M,,735.005M,USDD USD,0.998387,-7659145.132362119,USDD-USD,24.761M,65,24.761M,24.761M,-0.012115429167518843,USD,735929600.0,1.0410958904109588,0.9989196062088013,-0.008415708598889116,-0.010407442685227117,0.0032088256503794523,0.808624063895622
66,+0.93%,,0.0697,96.975M,,730.335M,KuCoin Token USD,7.5312,12950622.191514868,KCS-USD,2.032M,66,2.032M,2.032M,0.5326860345639512,USD,725615808.0,5.52054794520548,7.4825239181518555,0.2948205126844007,0.017847767439370433,0.06555008481351046,16.518621373004635
67,-6.61%,,-0.005067,10.167B,,727.618M,Radix USD,0.071565,-12581581.272090457,XRD-USD,3.178M,67,3.178M,3.178M,-0.33832267718744247,USD,760218432.0,1.663013698630137,0.07473684102296829,-0.28512403274621567,-0.016549955568678526,0.06836541461966522,17.228084484155637
68,+0.27%,,0.000681,2.79B,,708.542M,Conflux USD,0.253929,13746768.95479567,CFX-USD,161.947M,68,161.947M,161.947M,0.6873293834061942,USD,886921664.0,2.5123287671232877,0.3080090880393982,0.3611864443722616,0.015499417268485699,0.09247312439765036,23.30322734820789
69,-8.78%,,-3.44,19.266M,,688.154M,Bitcoin SV USD,35.72,-3941249.5871177367,BSV-USD,135.343M,69,135.343M,135.343M,-0.14358305136025873,USD,657311936.0,4.52054794520548,34.11758041381836,-0.10701227078956577,-0.0059960109823986776,0.07082239666657222,17.8472439599762
70,+2.01%,,0.00962,1.4B,,683.183M,Bitget Token USD,0.487988,44039789.21926125,BGB-USD,25.152M,70,25.152M,25.152M,1.7051614271448332,USD,634633344.0,1.8,0.4533095061779022,0.687070466122176,0.06939406767013687,0.03928967122405395,9.900997148461595
71,-2.26%,,-0.017126,914.164M,,677.848M,Immutable USD,0.741495,-27070648.94511317,IMX10603-USD,29.435M,71,29.435M,29.435M,-0.6451170993872398,USD,700331200.0,1.526027397260274,0.766089677810669,-0.7152432469597929,-0.03865406674029826,0.07342738015340713,18.503699798658598
72,-0.84%,,-0.006915,814.066M,,665.563M,Curve DAO Token USD,0.817579,-20225774.392841727,CRV-USD,41.378M,72,41.378M,41.378M,-0.6163641053457138,USD,676396800.0,2.756164383561644,0.8281334638595581,-0.6614560672288077,-0.029902232525112073,0.0877802572567796,22.120624828708458
73,+1.05%,,0.098,70.539M,,665.187M,Neo USD,9.4301,-6583932.842074137,NEO-USD,48.979M,73,48.979M,48.979M,-0.19674087138325536,USD,671449984.0,5.52054794520548,9.51887035369873,-0.15125379436993144,-0.009805544715113341,0.06121163965494317,15.425333193045677
74,-3.28%,,-21.99,977631,,633.667M,Maker USD,648.17,4190570.9949588883,MKR-USD,20.22M,74,20.22M,20.22M,0.16632463762724492,USD,619906880.0,5.49041095890411,634.0908203125,0.10622488277389913,0.006760000784245028,0.06235610409650491,15.713738232319237
75,+0.20%,,0.0035,363.912M,,623.168M,Render Token USD,1.7124,29119733.375610583,RNDR-USD,192.155M,75,192.155M,192.155M,2.488357942136867,USD,790239616.0,2.9315068493150687,2.171515703201294,0.8626209388914315,0.03684924519857352,0.09289468333498999,23.409460200417477
76,-17.59%,,-3.4e-07,391.79T,,619.351M,Pepe USD,1.58e-06,,PEPE24478-USD,478.984M,76,478.984M,478.984M,inf,USD,619892544.0,0.0821917808219178,1.5822062096049194e-06,inf,,,
77,-0.55%,,-0.000583,5.851B,,614.898M,TNC Coin USD,0.10509,-2503916.0203831946,TNC5524-USD,62027,77,62027,62027,-0.2541705419236061,USD,636269184.0,3.0356164383561643,0.10874196887016296,-0.20246875335416448,-0.003935309273729017,0.2041637335364412,51.44926085118318
78,-1.73%,,-0.003448,3.092B,,605.585M,Klaytn USD,0.195853,3285354.3914832985,KLAY-USD,25.803M,78,25.803M,25.803M,0.1546488645915589,USD,546992960.0,3.1315068493150684,0.176804780960083,0.09927853060752341,0.006006209643874208,0.06559251947649446,16.529314908076604
79,-3.14%,,-0.0366,528.274M,,596.756M,Sui USD,1.1296,-169846478.3755797,SUI20947-USD,615.104M,79,615.104M,615.104M,-0.9912504154977757,USD,618048896.0,0.038356164383561646,1.169940710067749,-3.2716842861108013,-0.27481074632577246,0.04724296383898642,11.905226887424577
80,-1.11%,,-7e-06,990B,,588.407M,BitTorrent USD,0.000594,1237668.5810676597,BTTOLD-USD,191744,80,191744,191744,0.05428265539553179,USD,578783744.0,4.2904109589041095,0.0005846300628036261,0.036495529364273305,0.002138395547383687,0.0677253230350659,17.066781404836608
81,-0.84%,,-1e-08,951.422T,,568.705M,BitTorrent(New) USD,6e-07,-13376939.502798077,BTT-USD,14.547M,81,14.547M,14.547M,-0.7900065531325757,USD,566689920.0,4.293150684931507,5.956243853688648e-07,-1.0775098532725633,-0.02360539517413346,0.18113794408182637,45.64676190862025
82,+0.25%,,0.002463,554.271M,,554.209M,Gemini Dollar USD,0.999887,-200112.677912432,GUSD-USD,738546,82,738546,738546,-0.0014878648176380738,USD,572640640.0,4.6136986301369864,0.9885625243186951,-0.0010286139459782274,-0.0003494559483456012,0.011680446111315574,2.9434724200515245
83,-0.18%,,-3.61,271263,,551.482M,PAX Gold USD,2033.01,10444419.701023055,PAXG-USD,13.765M,83,13.765M,13.765M,0.07849518175460979,USD,541665792.0,3.6410958904109587,1996.8236083984375,0.05217209112890401,0.01928203673792835,0.010737045596803713,2.705735490394536
84,-0.90%,,-0.00045,11.003B,,542.202M,Casper USD,0.049277,-28307288.930060934,CSPR-USD,12.173M,84,12.173M,12.173M,-0.7530643374954988,USD,522974528.0,2.0136986301369864,0.047466620802879333,-0.9656277202670661,-0.054127471634834445,0.07079318351791951,17.839882246515717
85,-1.48%,,-0.0314,259.119M,,541.087M,Synthetix USD,2.0882,5854787.600482774,SNX-USD,31.507M,85,31.507M,31.507M,0.34429946931026634,USD,576476032.0,5.178082191780822,2.2245240211486816,0.2042739869872184,0.010156168297527371,0.07981465408272537,20.11329282884679
86,-1.09%,,-0.36,16.328M,,531.943M,Zcash USD,32.58,-9481147.226491088,ZEC-USD,25.814M,86,25.814M,25.814M,-0.30952531525796767,USD,553665280.0,5.52054794520548,33.90838623046875,-0.2557116279245543,-0.01712433047362314,0.0592565463393326,14.932649677511815
87,+2.35%,,1.4,8.701M,,530.124M,GMX USD,60.93,12385040.188071163,GMX11857-USD,32.524M,87,32.524M,32.524M,0.9305202765590841,USD,548202560.0,1.6712328767123288,62.90232849121094,0.4541451070236874,0.022592087472322574,0.07976965941361945,20.1019541722321
88,-1.35%,,-1e-06,5.884T,,526.97M,Terra Classic USD,9e-05,-17182320.911706593,LUNC-USD,79.453M,88,79.453M,79.453M,-0.9187863675484822,USD,542214272.0,3.808219178082192,9.227560076396912e-05,-1.7333955724935746,-0.031689171235438435,0.2170632298331963,54.69993391796547
89,+1.08%,,0.0,19.384T,,516.004M,eCash USD,2.7e-05,147696.41938554394,XEC-USD,7.333M,89,7.333M,7.333M,0.007087369099674445,USD,510797312.0,1.8575342465753424,2.6343330318923108e-05,0.0048759388452502715,0.0002891487795956607,0.06691698197268973,16.863079457117813
90,-3.56%,,-0.0604,314.844M,,515.534M,Optimism USD,1.6374,27999000.017655004,OP-USD,108.934M,90,108.934M,108.934M,623.7007686077145,USD,589448640.0,1.1753424657534246,1.7575733661651611,4.444363662315465,0.047500321686474674,0.37128935369650123,93.56491713151831
91,-0.13%,,-2.69,246524,,499.481M,Tether Gold USD,2026.1,10829430.181702232,XAUT-USD,7.262M,91,7.262M,7.262M,0.07225825084494075,USD,490011808.0,3.2739726027397262,1987.68408203125,0.04816785944427287,0.022100345348621132,0.008648837670491913,2.179507092963962
92,+0.45%,,0.0282,80.006M,,498.781M,Injective USD,6.2343,15495891.144552907,INJ-USD,95.212M,92,95.212M,95.212M,1.305971451375843,USD,529582912.0,2.56986301369863,6.619326591491699,0.5768397657218881,0.02926055730543078,0.07822977072783652,19.713902223414802
93,+1.20%,,0.006569,898.566M,,498.193M,Mina USD,0.554431,-18790533.923238587,MINA-USD,23.53M,93,23.53M,23.53M,-0.5850385454180416,USD,521552288.0,1.9589041095890412,0.5781810879707336,-0.6072645210542651,-0.03602809220777225,0.06688613517352932,16.855306063729387
94,-0.32%,,-0.000576,2.78B,,494.674M,IOTA USD,0.17797,-4270453.408545391,MIOTA-USD,7.753M,94,7.753M,7.753M,-0.17621006995566646,USD,510433344.0,5.52054794520548,0.18364013731479645,-0.1338290675400853,-0.008366329235233878,0.06347679052566309,15.996151212467097
